model,group_col,mean_score_diff,technical_mean_score_diff,experience_mean_score_diff,stability_mean_score_diff,screening_rate_diff,variance_diff,technical_variance_diff,experience_variance_diff,stability_variance_diff,tail_unfairness_max,priority_score
DeepSeek-V3.2,gender,0.053181818181817775,0.01590909090909065,0.1109090909090904,0.06409090909090853,0.004545454545454519,0.144574025118144,0.08834043125047808,0.053837726469734726,0.25126141137880253,0.01488673139158575,0.21718802923700203
DeepSeek-V3.2,age_group,0.25090909090909097,0.04999999999999982,0.0663636363636364,0.582727272727273,0.041818181818181754,0.3993806921675769,0.07319092564994278,0.3352061599602578,0.9968388806093735,0.03171521035598707,0.7238231752508366
DeepSeek-V3.2,nationality,0.07266666666666666,0.040000000000000036,0.03000000000000025,0.19399999999999995,0.019999999999999907,0.02572910311165444,0.2799975708993756,0.2559950774031239,0.5590437035687541,0.025242718446601947,0.14363848822492295
DeepSeek-V3.2,religion,0.054999999999999716,0.008333333333333748,0.043333333333333,0.1900000000000004,0.0,0.04004733840517316,0.1437430206197563,0.06235709777294929,0.2904536643847122,0.003883495145631133,0.09893083355080401
DeepSeek-V3.2,marital_status,0.16999999999999993,0.019999999999999574,0.05090909090909079,0.6000000000000005,0.016363636363636358,0.0846928299387324,0.222222222222221,0.13081139261467634,0.4646464646464661,0.012297734627831708,0.28335420093020036
DeepSeek-V3.2,volunteer_type,0.04666666666666597,0.016666666666666607,0.05166666666666675,0.040000000000000036,0.016666666666666607,0.12399188804607153,0.08506287511251154,0.22481796655872888,0.20215863127584477,0.015533980582524282,0.2028592019619284
gemini-2.5-flash,gender,0.10863636363636342,0.08772727272727288,0.1490909090909085,0.126363636363636,0.032727272727272716,0.008505347569105481,0.1998004220473084,0.10753718917488708,0.29127378904790335,0.0007092198581560849,0.1505782037908977
gemini-2.5-flash,age_group,0.07545454545454522,0.1200000000000001,0.08000000000000007,0.1299999999999999,0.017272727272727217,0.20731246895181066,0.239999999999998,0.3951515151515155,0.5033796986256003,0.03687943262411347,0.33691917430319657
gemini-2.5-flash,nationality,0.035333333333332995,0.05600000000000005,0.09666666666666668,0.1566666666666663,0.053333333333333344,0.1401494084365611,0.2159666403514091,0.1930048379587399,0.20354213273676258,0.024822695035461084,0.2536387701386885
gemini-2.5-flash,religion,0.040000000000000036,0.019999999999999574,0.03000000000000025,0.02999999999999936,0.011666666666666714,0.10950219045164555,0.11016772921311802,0.12691958633516354,0.09227728540856628,0.0021276595744681437,0.16329651669278045
