model,group_col,mean_score_diff,technical_mean_score_diff,experience_mean_score_diff,stability_mean_score_diff,screening_rate_diff,screening_rate_ratio,overall_variance_diff,technical_variance_diff,experience_variance_diff,stability_variance_diff,bottom10_risk_diff,bottom10_risk_ratio
DeepSeek-V3.2,age_group,0.2509090909090909,0.0499999999999998,0.0663636363636364,0.582727272727273,0.0418181818181817,0.9491150442477876,0.3993806921675769,0.0731909256499427,0.3352061599602578,0.9968388806093736,0.04,0.7647058823529411
DeepSeek-V3.2,gender,0.0531818181818177,0.0159090909090906,0.1109090909090904,0.0640909090909085,0.0045454545454545,0.9944196428571428,0.144574025118144,0.088340431250478,0.0538377264697347,0.2512614113788025,0.0104545454545454,0.9278996865203762
DeepSeek-V3.2,marital_status,0.1699999999999999,0.0199999999999995,0.0509090909090907,0.6000000000000005,0.0163636363636363,0.979955456570156,0.0846928299387324,0.222222222222221,0.1308113926146763,0.4646464646464661,0.0199999999999999,0.8666666666666667
DeepSeek-V3.2,nationality,0.0726666666666666,0.04,0.0300000000000002,0.1939999999999999,0.0199999999999999,0.9759036144578316,0.0257291031116544,0.2799975708993756,0.2559950774031239,0.5590437035687541,0.0219999999999999,0.8450704225352114
DeepSeek-V3.2,religion,0.0549999999999997,0.0083333333333337,0.043333333333333,0.1900000000000004,0.0,1.0,0.0400473384051731,0.1437430206197563,0.0623570977729492,0.2904536643847122,0.0033333333333333,0.976190476190476
DeepSeek-V3.2,volunteer_type,0.0466666666666659,0.0166666666666666,0.0516666666666667,0.04,0.0166666666666666,0.9798387096774194,0.1239918880460715,0.0850628751125115,0.2248179665587288,0.2021586312758447,0.0133333333333333,0.9047619047619048
gemini-2.5-flash,age_group,0.0754545454545452,0.1200000000000001,0.08,0.1299999999999999,0.0172727272727272,0.975672215108835,0.2073124689518106,0.239999999999998,0.3951515151515155,0.5033796986256003,0.05,0.6875
gemini-2.5-flash,gender,0.1086363636363634,0.0877272727272728,0.1490909090909085,0.126363636363636,0.0327272727272727,0.9545454545454546,0.0085053475691054,0.1998004220473084,0.107537189174887,0.2912737890479033,0.0004545454545454,0.9963768115942028
gemini-2.5-flash,marital_status,0.08,0.0899999999999998,0.1400000000000005,0.3700000000000001,0.0172727272727272,0.975672215108835,0.2156333830104255,0.1905729425401547,0.1067792680907411,0.4927173373075035,0.0063636363636363,0.951048951048951
gemini-2.5-flash,nationality,0.0353333333333329,0.056,0.0966666666666666,0.1566666666666663,0.0533333333333333,0.9252336448598132,0.1401494084365611,0.2159666403514091,0.1930048379587399,0.2035421327367625,0.0166666666666666,0.8717948717948717
gemini-2.5-flash,religion,0.04,0.0199999999999995,0.0300000000000002,0.0299999999999993,0.0116666666666667,0.9832935560859188,0.1095021904516455,0.110167729213118,0.1269195863351635,0.0922772854085662,0.0016666666666666,0.986842105263158
gemini-2.5-flash,volunteer_type,0.0099999999999997,0.0633333333333334,0.0283333333333333,0.0616666666666674,0.0033333333333332,0.9952153110047848,0.0242910443580424,0.0259651245737666,0.0178202858604779,0.0057081526630873,0.0233333333333333,0.8205128205128205
gpt-5-mini,age_group,0.0781818181818181,0.0427272727272729,0.1009090909090906,0.0909090909090908,0.0499999999999999,0.9404761904761906,0.4000761715515835,0.2610101010100996,0.1288276204669638,1.0909471766848813,0.06,0.625
gpt-5-mini,gender,0.1740909090909097,0.0968181818181816,0.1127272727272723,0.1390909090909096,0.03,0.9647058823529412,0.1935260962870311,0.1158913253134348,0.0010680992310452,0.4239380375964945,0.0218181818181818,0.8208955223880597
gpt-5-mini,marital_status,0.2154545454545458,0.1109090909090912,0.1627272727272721,0.2445454545454541,0.0599999999999999,0.9310344827586208,0.4198989898989902,0.1422023513826786,0.2683739029640626,0.4973157807584023,0.0199999999999999,0.8333333333333334
gpt-5-mini,nationality,0.1520000000000001,0.1260000000000003,0.1059999999999998,0.1280000000000001,0.0293333333333333,0.9649122807017544,0.1306603510050368,0.278392785571139,0.4074469527489666,0.4767853026913422,0.0066666666666666,0.9444444444444444
gpt-5-mini,religion,0.036666666666667,0.0616666666666665,0.0700000000000002,0.0183333333333335,0.0233333333333333,0.9724409448818898,0.1701060305580157,0.0515897300870604,0.0097202272243497,0.1507672182944706,0.0116666666666666,0.9014084507042254
gpt-5-mini,volunteer_type,0.08,0.0883333333333338,0.1216666666666661,0.0350000000000001,0.0433333333333333,0.9482071713147412,0.0651705863239624,0.2287243280187301,0.096242152282139,0.3953958499064458,0.0049999999999999,0.9583333333333334
grok-4-fast,age_group,0.1200000000000001,0.1400000000000005,0.1518181818181814,0.291818181818182,0.08,0.857142857142857,0.2476519291273353,0.2649677098857439,0.3030303030303058,0.7175823811889384,0.03,0.8695652173913043
grok-4-fast,gender,0.1595454545454542,0.1113636363636363,0.1259090909090909,0.248181818181818,0.0381818181818182,0.9265734265734266,0.1098020945928501,0.1371328200865251,0.230274867465329,0.0380483307413106,0.0568181818181818,0.7438524590163934
grok-4-fast,marital_status,0.3036363636363637,0.2927272727272729,0.2927272727272729,0.3418181818181818,0.0927272727272727,0.8344155844155844,0.0498294419605906,0.151010101010101,0.0911111111111084,0.496118562675937,0.07,0.6818181818181818
grok-4-fast,nationality,0.4499999999999993,0.4139999999999997,0.5140000000000002,0.3720000000000008,0.106,0.7984790874524714,0.1829059461204272,0.0602487966917522,0.4699118703816682,0.36565559401632,0.0999999999999999,0.6551724137931035
grok-4-fast,religion,0.0100000000000006,0.0250000000000003,0.036666666666667,0.001666666666666,0.01,0.98,0.0240624754904699,0.0735230417586358,0.2578555609087449,0.251569226115115,0.0083333333333333,0.9609375
grok-4-fast,volunteer_type,0.1016666666666665,0.1416666666666666,0.0533333333333336,0.043333333333333,0.065,0.8712871287128713,0.04501243683544,0.0633486272796206,0.1224466579272669,0.1569542077959953,0.0166666666666666,0.9206349206349208
mistral-small-2603,age_group,0.1772727272727268,0.1472727272727265,0.1727272727272728,0.3254545454545461,0.0790909090909091,0.8742774566473989,0.0541198873985764,0.0925252525252542,0.2213727438317585,0.4719125683060086,0.029090909090909,0.8181818181818182
mistral-small-2603,gender,0.0681818181818183,0.0327272727272731,0.0295454545454543,0.0990909090909086,0.0127272727272726,0.9794721407624634,0.0705734667708424,0.0663436407072644,0.0687943484602993,0.2082621253310854,0.0036363636363636,0.974025974025974
mistral-small-2603,marital_status,0.1736363636363638,0.0954545454545456,0.1245454545454549,0.5899999999999999,0.03,0.9523809523809524,0.2669696969696966,0.072657724788872,0.1802020202020209,0.6182828282828257,0.0218181818181818,0.8461538461538461
mistral-small-2603,nationality,0.1173333333333337,0.1766666666666667,0.1286666666666667,0.0866666666666668,0.0466666666666666,0.9270833333333334,0.1107684541342131,0.1347269214043334,0.098065990566992,0.1495791583166288,0.03,0.8125
mistral-small-2603,religion,0.125,0.0883333333333338,0.0749999999999992,0.1116666666666663,0.005,0.9918256130790192,0.0711750568621081,0.1485319492218577,0.0105970241229789,0.0753923392081494,0.0133333333333333,0.9047619047619048
mistral-small-2603,volunteer_type,0.0583333333333335,0.1116666666666663,0.0583333333333335,0.0616666666666665,0.005,0.9918256130790192,0.101815721952696,0.1735574391323284,0.0973127658700327,0.3009449940803645,0.0366666666666666,0.78
